Metodos Ordenacao |Arquivo Ordenado                                            |Arquivo em Ordem Reversa                                    |Arquivo Randomico                                           |
                  |  Comp.Prog. |  Comp.Equa. |    Mov.Prog |   Mov.Equa. |   Tempo |  Comp.Prog. |  Comp.Equa. |    Mov.Prog |   Mov.Equa. |   Tempo |  Comp.Prog. |  Comp.Equa. |    Mov.Prog |   Mov.Equa. |   Tempo |  Tempo |
Insercao Direta   |          15 |        7,00 |          15 |       21,00 |       0 |          35 |       17,00 |          35 |       42,00 |       0 |          13 |       17,50 |          13 |       31,50 |       0 |
Selecao Direta    |         120 |       28,00 |           0 |       21,00 |       0 |          28 |       28,00 |           8 |       42,00 |       0 |          28 |       28,00 |           6 |       11,84 |       0 |
Insercao Binaria  |          46 |        3,22 |          37 |       21,00 |       0 |          20 |        3,22 |          35 |       42,00 |       0 |          21 |        3,22 |          15 |       31,50 |       0 |
Bubble Sort       |          15 |       28,00 |           0 |        0,00 |       0 |          28 |       28,00 |          56 |       42,00 |       0 |          22 |       28,00 |          12 |       42,00 |       0 |
Shake Sort        |          15 |       28,00 |           0 |        0,00 |       0 |          28 |       28,00 |          56 |       42,00 |       0 |          18 |       28,00 |          12 |       42,00 |       0 |
Shell Sort        |          35 |        0,00 |          35 |        0,00 |       0 |          22 |        0,00 |          22 |        0,00 |       0 |          15 |        0,00 |          15 |        0,00 |       0 |
Heap Sort         |         128 |        0,00 |          30 |        0,00 |       0 |          32 |        0,00 |          14 |        0,00 |       0 |          32 |        0,00 |          14 |        0,00 |       0 |
Quick Sort S/ Pivo|         120 |        0,00 |           0 |        0,00 |       0 |          28 |        0,00 |           0 |        0,00 |       0 |          28 |        0,00 |           0 |        0,00 |       0 |
Quick Sort C/ Pivo|          25 |        0,00 |          32 |        0,00 |       0 |           8 |        0,00 |          16 |        0,00 |       0 |          14 |        0,00 |          14 |        0,00 |       0 |
Merge Sort 1      |          44 |        0,00 |         128 |        0,00 |       0 |          17 |        0,00 |          48 |        0,00 |       0 |          17 |        0,00 |          48 |        0,00 |       0 |
Merge Sort 2      |          32 |        0,00 |         128 |        0,00 |       0 |          12 |        0,00 |          48 |        0,00 |       0 |          15 |        0,00 |          48 |        0,00 |       0 |
Counting Sort     |           0 |        0,00 |          16 |        0,00 |       0 |           0 |        0,00 |           8 |        0,00 |       0 |           0 |        0,00 |           8 |        0,00 |       0 |
Bucket Sort       |          16 |        0,00 |          32 |        0,00 |       0 |           8 |        0,00 |          16 |        0,00 |       0 |          16 |        0,00 |          16 |        0,00 |       0 |
Radix Sort        |           0 |        0,00 |          32 |        0,00 |       0 |           0 |        0,00 |          16 |        0,00 |       0 |           0 |        0,00 |          32 |        0,00 |       0 |
Comb Sort         |          75 |        0,00 |           0 |        0,00 |       0 |          31 |        0,00 |          12 |        0,00 |       0 |          31 |        0,00 |           6 |        0,00 |       0 |
Gnome Sort        |          15 |        0,00 |           0 |        0,00 |       0 |          14 |        0,00 |          56 |        0,00 |       0 |          10 |        0,00 |          12 |        0,00 |       0 |
Tim Sort          |          39 |        0,00 |          38 |        0,00 |       0 |          22 |        0,00 |          56 |        0,00 |       0 |          19 |        0,00 |          16 |        0,00 |       0 |
